iter	Passed	Remaining
967	36798	20224
968	36838	20187
969	36875	20148
970	36907	20107
971	36945	20069
972	36981	20030
973	37011	19987
974	37047	19948
975	37081	19908
976	37119	19870
977	37158	19833
978	37195	19794
979	37232	19756
980	37269	19717
981	37304	19677
982	37337	19637
983	37376	19600
984	37414	19561
985	37454	19525
986	37494	19488
987	37532	19449
988	37570	19412
989	37609	19374
990	37648	19336
991	37682	19297
992	37724	19261
993	37761	19222
994	37802	19186
995	37841	19148
996	37877	19109
997	37912	19070
998	37946	19030
999	37978	18989
1000	38017	18951
1001	38056	18914
1002	38098	18878
1003	38136	18840
1004	38170	18800
1005	38212	18764
1006	38255	18728
1007	38293	18690
1008	38330	18652
1009	38367	18614
1010	38405	18575
1011	38444	18538
1012	38484	18501
1013	38520	18462
1014	38552	18421
1015	38588	18382
1016	38628	18345
1017	38663	18306
1018	38706	18270
1019	38743	18232
1020	38783	18195
1021	38821	18157
1022	38857	18118
1023	38893	18079
1024	38928	18040
1025	38967	18002
1026	39000	17962
1027	39037	17924
1028	39071	17883
1029	39107	17845
1030	39142	17805
1031	39175	17765
1032	39212	17727
1033	39245	17687
1034	39286	17650
1035	39321	17611
1036	39386	17585
1037	39430	17549
1038	39465	17510
1039	39502	17472
1040	39539	17433
1041	39576	17395
1042	39613	17356
1043	39649	17318
1044	39684	17279
1045	39721	17240
1046	39757	17201
1047	39793	17162
1048	39832	17125
1049	39868	17086
1050	39903	17047
1051	39939	17008
1052	39976	16969
1053	40012	16931
1054	40047	16892
1055	40083	16853
1056	40121	16815
1057	40160	16777
1058	40197	16739
1059	40234	16700
1060	40269	16661
1061	40306	16623
1062	40340	16583
1063	40378	16546
1064	40415	16507
1065	40453	16470
1066	40492	16432
1067	40537	16397
1068	40577	16359
1069	40619	16323
1070	40656	16285
1071	40693	16246
1072	40726	16207
1073	40764	16169
1074	40805	16132
1075	40844	16094
1076	40884	16057
1077	40916	16017
1078	40951	15978
1079	40988	15939
1080	41023	15900
1081	41060	15862
1082	41097	15824
1083	41134	15785
1084	41171	15747
1085	41207	15709
1086	41245	15670
1087	41282	15632
1088	41318	15593
1089	41354	15555
1090	41390	15516
1091	41426	15477
1092	41465	15440
1093	41503	15402
1094	41541	15364
1095	41575	15325
1096	41613	15287
1097	41651	15249
1098	41687	15210
1099	41727	15173
1100	41765	15135
1101	41807	15099
1102	41840	15059
1103	41875	15020
1104	41912	14982
1105	41946	14943
1106	41981	14904
1107	42019	14866
1108	42054	14827
1109	42090	14788
1110	42127	14750
1111	42164	14711
1112	42202	14674
1113	42236	14635
1114	42274	14597
1115	42311	14558
1116	42346	14520
1117	42385	14482
1118	42421	14443
1119	42457	14405
1120	42494	14366
1121	42529	14328
1122	42568	14290
1123	42604	14252
1124	42641	14213
1125	42684	14177
1126	42723	14140
1127	42758	14101
1128	42796	14063
1129	42836	14026
1130	42869	13986
1131	42904	13947
1132	42938	13908
1133	42971	13869
1134	43013	13832
1135	43053	13795
1136	43092	13757
1137	43146	13725
1138	43195	13690
1139	43229	13651
1140	43264	13612
1141	43299	13573
1142	43338	13536
1143	43373	13497
1144	43413	13460
1145	43449	13421
1146	43485	13383
1147	43521	13344
1148	43557	13305
1149	43591	13266
1150	43632	13229
1151	43669	13191
1152	43706	13153
1153	43746	13116
1154	43786	13078
1155	43825	13041
1156	43863	13003
1157	43899	12965
1158	43938	12927
1159	43970	12887
1160	44007	12849
1161	44046	12812
1162	44085	12774
1163	44119	12735
1164	44154	12696
1165	44187	12657
1166	44225	12619
1167	44262	12581
1168	44301	12543
1169	44333	12504
1170	44373	12467
1171	44414	12429
1172	44453	12392
1173	44492	12354
1174	44530	12317
1175	44566	12278
1176	44606	12241
1177	44645	12203
1178	44682	12165
1179	44720	12127
1180	44755	12088
1181	44789	12049
1182	44830	12012
1183	44869	11975
1184	44908	11937
1185	44943	11899
1186	44982	11861
1187	45017	11822
1188	45056	11785
1189	45089	11745
1190	45126	11707
1191	45164	11670
1192	45200	11631
1193	45235	11592
1194	45275	11555
1195	45313	11517
1196	45354	11480
1197	45390	11442
1198	45428	11404
1199	45466	11366
1200	45506	11329
1201	45547	11292
1202	45582	11253
1203	45622	11216
1204	45658	11177
1205	45693	11139
1206	45731	11101
1207	45773	11064
1208	45808	11025
1209	45848	10988
1210	45881	10949
1211	45916	10910
1212	45953	10872
1213	45989	10834
1214	46026	10796
1215	46058	10757
1216	46094	10718
1217	46129	10680
1218	46164	10641
1219	46198	10602
1220	46236	10565
1221	46271	10526
1222	46306	10488
1223	46343	10450
1224	46380	10411
1225	46415	10373
1226	46448	10334
1227	46482	10295
1228	46519	10257
1229	46553	10219
1230	46590	10180
1231	46625	10142
1232	46660	10104
1233	46694	10065
1234	46731	10027
1235	46777	9991
1236	46821	9954
1237	46877	9920
1238	46923	9884
1239	46961	9846
1240	46996	9808
1241	47034	9770
1242	47073	9732
1243	47112	9695
1244	47154	9658
1245	47195	9620
1246	47231	9582
1247	47266	9544
1248	47302	9505
1249	47342	9468
1250	47380	9430
1251	47416	9392
1252	47458	9355
1253	47499	9318
1254	47537	9280
1255	47576	9242
1256	47613	9204
1257	47650	9166
1258	47685	9128
1259	47725	9090
1260	47760	9052
1261	47797	9014
1262	47839	8976
1263	47876	8938
1264	47910	8900
1265	47949	8862
1266	47984	8824
1267	48018	8785
1268	48054	8747
1269	48089	8709
1270	48125	8670
1271	48162	8632
1272	48197	8594
1273	48230	8555
1274	48262	8516
1275	48298	8478
1276	48335	8440
1277	48370	8402
1278	48405	8364
1279	48441	8325
1280	48476	8287
1281	48517	8250
1282	48556	8212
1283	48595	8174
1284	48631	8136
1285	48666	8098
1286	48702	8060
1287	48741	8022
1288	48779	7984
1289	48820	7947
1290	48859	7909
1291	48895	7871
1292	48932	7833
1293	48970	7795
1294	49014	7759
1295	49054	7721
1296	49093	7683
1297	49132	7646
1298	49171	7608
1299	49210	7570
1300	49246	7532
1301	49286	7495
1302	49323	7457
1303	49364	7419
1304	49402	7382
1305	49442	7344
1306	49479	7306
1307	49521	7269
1308	49555	7230
1309	49593	7193
1310	49633	7155
1311	49671	7117
1312	49708	7079
1313	49742	7041
1314	49780	7003
1315	49822	6966
1316	49860	6928
1317	49894	6889
1318	49929	6851
1319	49964	6813
1320	49997	6774
1321	50035	6736
1322	50070	6698
1323	50106	6660
1324	50145	6622
1325	50181	6584
1326	50215	6546
1327	50254	6508
1328	50289	6470
1329	50323	6432
1330	50359	6394
1331	50393	6355
1332	50428	6317
1333	50466	6279
1334	50506	6242
1335	50540	6204
1336	50580	6166
1337	50638	6131
1338	50690	6094
1339	50722	6056
1340	50761	6018
1341	50792	5980
1342	50833	5942
1343	50871	5904
1344	50906	5866
1345	50942	5828
1346	50978	5790
1347	51014	5752
1348	51052	5714
1349	51086	5676
1350	51121	5638
1351	51155	5599
1352	51191	5561
1353	51229	5523
1354	51265	5485
1355	51301	5447
1356	51336	5409
1357	51370	5371
1358	51414	5334
1359	51456	5296
1360	51492	5259
1361	51526	5220
1362	51570	5183
1363	51607	5145
1364	51644	5107
1365	51684	5070
1366	51723	5032
1367	51758	4994
1368	51798	4956
1369	51836	4918
1370	51874	4881
1371	51909	4842
1372	51945	4804
1373	51981	4766
1374	52015	4728
1375	52051	4690
1376	52084	4652
1377	52122	4614
1378	52155	4576
1379	52191	4538
1380	52229	4500
1381	52264	4462
1382	52299	4424
1383	52336	4386
1384	52377	4348
1385	52411	4310
1386	52445	4272
1387	52482	4234
1388	52517	4196
1389	52557	4159
1390	52592	4121
1391	52629	4083
1392	52666	4045
1393	52706	4007
1394	52747	3970
1395	52789	3932
1396	52827	3894
1397	52864	3857
1398	52902	3819
1399	52934	3781
1400	52970	3743
1401	53007	3705
